Facility Link,Facility Name,Website,Contact Number,Address
https://www.yelp.com/biz/lourdes-senior-community-waterford-2,Lourdes Senior Community,lourdesseniorcommunity.org,(248) 674-2241,"2300 Watkins Lake Rd Waterford, MI 48328"
https://www.yelp.com/biz/townehall-place-of-west-bloomfield-west-bloomfield-4,Townehall Place of West Bloomfield,townehallplace.com,(248) 683-1010,"4460 Orchard Lake Rd West Bloomfield, MI 48323"
https://www.yelp.com/biz/magnolia-by-the-lakes-keego-harbor,Magnolia by the Lakes,magnoliabythelakes.com,(248) 681-8000,"1699 Cass Lake Rd Keego Harbor, MI 48320"
https://www.yelp.com/biz/autumn-ridge-of-clarkston-clarkston,Autumn Ridge of Clarkston,autumnridgeofclarkston.com,(248) 625-0500,"5700 Water Tower Pl Clarkston, MI 48346"
https://www.yelp.com/biz/st-annes-mead-southfield,St. Anne’s Mead,stannesmead.org,(248) 557-1221,"16106 W Twelve Mile Rd Southfield, MI 48076"
https://www.yelp.com/biz/belmar-oakland-troy-2,Belmar Oakland,Belmaroakland.com,(248) 602-2400,"5990 N Adams Rd Troy, MI 48098"
https://www.yelp.com/biz/pine-tree-place-clarkston,Pine Tree Place,(248) 620-2420,Get Directions,Nan
https://www.yelp.com/biz/cedarbrook-bloomfield-hills-bloomfield-hills,Cedarbrook Bloomfield Hills,cedarbrookofbloomfieldhills.co…,(248) 955-4956,"41150 Woodward Ave Bloomfield Hills, MI 48304"
https://www.yelp.com/biz/waltonwood-university-rochester-hills,Waltonwood - University,waltonwood.com,(800) 250-7597,"3250 Walton Blvd Rochester Hills, MI 48309"
https://www.yelp.com/biz/orchard-manor-farmington-hills,Orchard Manor,seniorcareinmichigan.com,(248) 613-2502,"32777 Raphael Farmington Hills, MI 48336"
